source_file,title,authors,year,program,adviser,keywords
san-miguel-nabua-camarines-sur-college-2023.pdf,"San Miguel, Nabua, Camarines Sur COLLEGE OF TOURISM, HOSPITALITY AND BUSINESS MANAGEMENT Bachelor of Science in Hospitality Management PILI PULP CHIPS",John Arman A. Dela Marquez; Veronica N. Oliveros; Glynn Francois D. Peñales; Joseph Edward T. Rojales; Kathleen Joy Talangan,2023,BSHM,,
taro-delicacies-2023.pdf,TARO DELICACIES,Edilyn D. De Villa; Maria Jellaine P. Pornalisa; Catherine Z. Sumayo; Eliza Marielle A. Tapiador,2023,BSHM,"Michelle M. Lomeda - Junio, Edd",
taro-smidgets-2023.pdf,TARO SMIDGETS,Jonerie Ivan T. Aballa; John Lloyd O. Llagas; Nicko Francis A. Manayon; Jay S. Soliman,2023,BSHM,"Mark Anthony Orobia, Mbm",
customer-satisfaction-coffee-shops-iriga-city-2024.pdf,CUSTOMER SATISFACTION ON COFFEE SHOPS IN IRIGA CITY,Kurt Daniel M. Caigas; Jason S. Renegado; Joey Segovia,2024,BSHM,,
impact-service-quality-customer-satisfaction-food-2024.pdf,IMPACT OF SERVICE QUALITY ON CUSTOMER SATISFACTION OF FOOD BAZAAR IN IRIGA CITY,"Braga, Yedda Mae P.; Cepe, Rosemarie T.; Refugio, Ma. Althia Lovely P.",2024,BSHM,"Ruvelyn R. Martinez, Mbm",
breadfruit-seed-sweet-delicacies-2024.pdf,BREADFRUIT SEED SWEET DELICACIES,Juneflor N. Pontillas; Judith S. Ponesto; Armando P. Dimailig Jr.,2024,BSHM,,
level-internship-performance-bshm-students-camarines-2024.pdf,LEVEL OF INTERNSHIP PERFORMANCE OF BSHM STUDENTS AT CAMARINES SUR POLYTECHNIC COLLEGES S/Y 2023-2024,"Baleña, Mart Lioyd S.; Clete, Jerome E.; Malana, Ricky S.; Tañamor, Maricon B.",2024,BSHM,,
labong-delicacies-2024.pdf,LABONG DELICACIES,Trisha B. Buenaflor; Wineline D. Gapit; John Rhoi A. Armeña,2024,BSHM,,
tilapia-pie-2024.pdf,TILAPIA PIE,Angela Missy N. Baroso; Katrina A. Embestro; Joy M. Mago; Phillip Z. Serafico Iii,2024,BSHM,,
kalabasa-by-products-2024.pdf,KALABASA BY-PRODUCTS,Novie Jane B. Sumpay; Ella May B. Villadolid; Niño Ramer N. Hernandez,2024,BSHM,Bachelor Of Science In Hospitality Management,
analysis-design-enrollment-system-taburnal-learning-2023.pdf,"ANALYSIS AND DESIGN OF ENROLLMENT SYSTEM OF TABURNAL LEARNING CENTER, BATO",Rica Theresa V. Adante; Shiela Mae P. Alanis; Marl Louwelle Argarin,2023,BSIS,,
analysis-design-online-appointment-management-camarines-2023.pdf,ANALYSIS AND DESIGN FOR ONLINE APPOINTMENT MANAGEMENT IN CAMARINES SUR POLYTECHNIC COLLEGES ADMISSION OFFICE,Renela Rose A. Garol; Pablo R. Talagtag Jr.; Mary Joy E. Tuyay,2023,BSIS,"Niño Jeffrey L. Luzon, Mis,",
uncovering-knowledge-management-practices-academic-cluster-2023.pdf,UNCOVERING THE KNOWLEDGE MANAGEMENT PRACTICES OF THE ACADEMIC CLUSTER AND RESEARCH OFFICE IN CAMARINES SUR POLYTECHNIC COLLEGES,Gilian B. Bermido; Danica D. Berza; Ronel G. Teñoso,2023,BSIS,,
